Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Steven Adams,C,26,OKC,63,1680,478,1,3,201,583,146,51,67,684,249.18
Bam Adebayo,PF,22,MIA,72,2417,790,2,14,382,735,368,82,93,1146,397.85
LaMarcus Aldridge,C,34,SAS,53,1754,793,61,157,191,392,129,36,87,1001,307.62
Kyle Alexander,PF,23,MIA,2,13,2,0,0,0,3,0,0,0,2,0.98
Nickeil Alexander-Walker,SG,21,NOP,47,591,266,46,133,37,84,89,17,8,267,100.42
Grayson Allen,SG,24,MEM,38,718,251,57,141,45,85,52,10,2,330,101.7
Jarrett Allen,C,21,BRK,70,1852,465,0,6,270,671,110,40,92,775,269.8
Kadeem Allen,SG,27,NYK,10,117,44,5,16,11,9,21,5,2,50,17.6
Al-Farouq Aminu,PF,29,ORL,18,380,86,9,36,29,87,21,18,8,78,39.88
Justin Anderson,SF,26,BRK,10,107,38,6,29,4,21,8,0,6,28,14.57
Kyle Anderson,PF,26,MEM,67,1330,331,24,85,78,285,162,54,37,390,162.72
Ryan Anderson,C,31,HOU,2,14,7,1,5,0,7,2,1,0,5,3.08
Giannis Antetokounmpo,PF,25,MIL,63,1917,1238,89,293,629,856,354,61,66,1857,567.05
Kostas Antetokounmpo,PF,22,LAL,5,20,3,0,0,2,3,2,0,0,7,2.22
Thanasis Antetokounmpo,SF,27,MIL,20,129,48,0,10,17,24,15,7,2,55,20.1
Carmelo Anthony,PF,35,POR,58,1902,782,87,226,161,368,85,49,27,895,284.58
OG Anunoby,SF,22,TOR,69,2066,566,89,228,102,364,108,96,45,733,252.88
Ryan Arcidiacono,PG,25,CHI,58,930,220,54,138,38,110,96,27,3,261,101.73
Trevor Ariza,SF,34,TOT,53,1493,324,77,207,74,246,91,69,15,423,161.77
D.J. Augustin,PG,32,ORL,57,1420,461,70,201,181,122,262,34,1,599,199.2
Deandre Ayton,C,21,PHO,38,1236,568,3,13,89,436,72,26,58,690,223.08
Dwayne Bacon,SG,24,CHO,39,687,244,19,67,53,100,52,23,2,224,84.03
Marvin Bagley III,PF,20,SAC,13,334,167,4,22,31,97,10,6,12,185,58.7
Lonzo Ball,PG,22,NOP,63,2025,687,148,395,76,383,438,88,38,745,321.38
Mo Bamba,C,21,ORL,62,878,286,37,107,46,302,42,23,86,332,141.57
J.J. Barea,PG,35,DAL,29,450,207,32,85,22,53,112,5,2,222,80.12
Harrison Barnes,PF,27,SAC,72,2482,793,102,268,267,355,159,43,12,1046,316.85
RJ Barrett,SG,19,NYK,56,1704,727,63,197,254,279,143,55,17,803,261.53
Will Barton,SF,29,DEN,58,1916,738,108,288,133,365,212,61,29,874,299.3
Keita Bates-Diop,SF,24,TOT,44,744,234,34,103,75,127,30,19,24,288,98.12
Nicolas Batum,SF,31,CHO,22,505,81,14,49,10,100,66,17,8,79,47.6
Aron Baynes,C,33,PHO,42,934,381,59,168,75,237,67,10,23,481,159.68
Kent Bazemore,SF-SG,30,TOT,68,1688,534,84,244,147,294,93,74,40,597,220.02
Darius Bazley,PF,19,OKC,61,1130,317,49,141,62,246,41,23,41,342,136.4
Bradley Beal,SG,26,WAS,57,2053,1303,170,481,457,242,347,71,23,1741,490.05
Malik Beasley,SG,23,TOT,55,1209,534,107,276,66,148,75,40,8,615,194.42
Marco Belinelli,SG,33,SAS,57,883,314,67,178,58,99,69,12,1,361,120.48
Jordan Bell,C-PF,25,TOT,29,256,67,4,12,31,81,16,3,10,93,36.02
DeAndre' Bembry,SG,25,ATL,43,915,228,15,65,48,152,81,55,19,249,101.48
Dragan Bender,SF,22,TOT,16,286,92,15,43,14,73,28,4,9,107,42.02
Dāvis Bertāns,PF,27,WAS,54,1583,610,200,472,122,245,92,37,33,834,266.82
Patrick Beverley,PG,31,LAC,51,1342,341,80,206,47,266,183,54,25,405,174.03
Khem Birch,C,27,ORL,48,922,143,0,1,101,220,50,20,23,212,86.1
Goga Bitadze,C,20,IND,54,471,150,8,42,33,106,23,10,37,172,66.28
Bismack Biyombo,C,27,CHO,53,1029,278,0,0,151,308,50,10,49,393,136.8
Nemanja Bjelica,PF,31,SAC,72,2011,653,134,320,84,458,203,62,40,831,301.45
Eric Bledsoe,PG,30,MIL,61,1646,703,74,215,214,282,328,57,26,911,298.88
Bogdan Bogdanović,SG,27,SAC,61,1766,766,164,441,116,207,207,64,15,924,299.65
Bojan Bogdanović,SF,30,UTA,63,2083,935,189,457,277,259,131,34,7,1275,360.15
Bol Bol,SF,20,DEN,7,87,28,4,9,10,19,6,2,6,40,13.55
Jonah Bolden,PF,24,TOT,7,47,11,0,4,4,9,0,3,2,10,4.92
Marques Bolden,C,21,CLE,1,3,0,0,0,0,2,0,1,0,0,0.45
Jordan Bone,PG,22,DET,10,53,20,2,10,0,4,8,1,0,12,6.58
Isaac Bonga,SF,20,WAS,66,1250,234,25,71,85,222,76,45,22,330,123.4
Devin Booker,SG,23,PHO,70,2512,1283,141,398,509,297,456,49,18,1863,515.65
Chris Boucher,PF,27,TOR,62,819,299,38,118,116,277,26,22,61,411,146.78
Brian Bowen,SG,21,IND,6,31,10,0,2,0,7,0,0,1,6,3.3
Ky Bowman,PG,22,GSW,45,1015,321,33,107,41,121,131,44,10,335,125.28
Avery Bradley,SG,29,LAL,49,1186,383,63,173,24,115,63,43,5,423,138.65
Tony Bradley,C,22,UTA,58,663,189,3,3,46,267,23,14,33,285,102.6
Jarrell Brantley,PF,23,UTA,9,96,28,3,13,2,20,11,3,5,24,12.35
Ignas Brazdeikis,SF,21,NYK,9,53,22,1,9,5,5,4,0,1,17,6.92
Corey Brewer,SG,33,SAC,5,33,4,0,1,3,8,2,4,0,5,3.28
Mikal Bridges,SF,23,PHO,73,2042,484,70,194,122,292,129,102,46,667,228.12
Miles Bridges,SF,21,CHO,65,1995,753,99,300,131,362,114,40,48,843,284.22
Oshae Brissett,SF,21,TOR,19,135,36,3,15,10,26,7,4,1,37,15.7
Ryan Broekhoff,SG,29,DAL,17,180,59,20,51,8,43,11,5,4,71,28.68
Malcolm Brogdon,PG,27,IND,54,1666,744,75,230,186,262,381,35,10,893,299.72
Dillon Brooks,SG,24,MEM,73,2112,1068,147,411,203,243,150,63,27,1181,360.6
Bruce Brown,SG,23,DET,58,1634,447,33,96,119,274,230,63,29,517,199.25
Charlie Brown,SG,22,ATL,10,40,19,3,9,5,4,2,2,2,20,7.28
Jaylen Brown,SF,23,BOS,57,1934,887,129,338,243,364,118,65,20,1159,344.6
Moses Brown,C,20,POR,9,33,10,0,0,8,14,1,1,1,11,5.38
Sterling Brown,SF,24,MIL,52,767,256,44,136,40,183,51,29,7,266,108.7
Troy Brown Jr.,SG,20,WAS,69,1782,622,61,179,139,383,178,85,7,716,257.02
Jalen Brunson,PG,23,DAL,57,1022,388,43,120,75,134,188,22,4,466,157
Thomas Bryant,C,22,WAS,46,1147,418,37,91,116,331,83,25,49,609,193.52
Reggie Bullock,SG,28,NYK,29,684,224,37,111,21,68,42,25,3,234,80.85
